"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_5866","no_hit","unknown","Polycystinea","Nassellaria","Trissocyclidae","Ceratospyris","s_"
"ASV_5867","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_5868","no_hit","Fornicata","unknown","unknown","unknown","Kipferlia","Kipferlia bialata"
"ASV_5869","no_hit","Ciliophora","Oligohymenophorea","Philasterida","Cinetochilidae","g_","s_"
"ASV_5870","no_hit","Dinophyceae","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","s_"
"ASV_5871","no_hit","Euglenozoa","Euglenida","Petalomonadida","Scytomonadidae","g_","s_"
"ASV_5872","no_hit","Dinophyceae","Dinophyceae","Prorocentrales","Prorocentraceae","g_","s_"
"ASV_5873","no_hit","unknown","Breviatea","unknown","unknown","Subulatomonas","Subulatomonas tetraspora"
"ASV_5874","no_hit","Dinophyceae","Dinophyceae","Syndiniales","no_hit","no_hit","no_hit"
"ASV_5875","no_hit","Dinophyceae","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"ASV_5876","no_hit","unknown","unknown","unknown","unknown","g_","s_"
"ASV_5877","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_5878","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_5879","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_5880","no_hit","Foraminifera","unknown","Rotaliida","Cassidulinidae","g_","s_"
"ASV_5881","no_hit","Foraminifera","no_hit","no_hit","no_hit","no_hit","s_"
"ASV_5882","no_hit","Ciliophora","Phyllopharyngea","Dysteriida","Plesiotrichopidae","g_","s_"
"ASV_5883","no_hit","Ciliophora","Spirotrichea","unknown","unknown","g_","s_"
"ASV_5884","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","s_"
"ASV_5885","no_hit","unknown","Acantharea","no_hit","no_hit","g_","s_"
"ASV_5886","no_hit","Dinophyceae","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","s_"
"ASV_5887","no_hit","Dinophyceae","Dinophyceae","Peridiniales","Protoperidiniaceae","g_","s_"
"ASV_5888","no_hit","Dinophyceae","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"ASV_5889","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_5890","no_hit","Imbricatea","unknown","Thaumatomonadida","Thaumatomastigidae","no_hit","no_hit"
"ASV_5891","no_hit","unknown","unknown","unknown","unknown","unknown","uncultured marine eukaryote"
"ASV_5892","no_hit","Haptophyta","unknown","Prymnesiales","Chrysochromulinaceae","g_","s_"
"ASV_5893","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_5895","no_hit","Cercozoa","Thecofilosea","Cryomonadida","Protaspidae","Cryothecomonas","Cryothecomonas aestivalis"
"ASV_5896","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_5897","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_5898","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","s_"
